nazwa,lokalizacja,url,ilosc_samochodow,srednia_cena,sredni_wiek
kuchta840105,Starogard gdański,https://allegro.pl/uzytkownik/kuchta840105,46,27027.76,2008.39
AutoKomisZwolen,Zwoleń,https://allegro.pl/uzytkownik/AutoKomisZwolen,112,31236.17,2008.24
Aisuv,Wierzyce,https://allegro.pl/uzytkownik/Aisuv,1,5900.0,2004.0
Jmelks,Klembów,https://allegro.pl/uzytkownik/Jmelks,1,25000.0,2010.0
fazjan94,Wieliczka,https://allegro.pl/uzytkownik/fazjan94,1,11500.0,2007.0
pharaun12,Kryry,https://allegro.pl/uzytkownik/pharaun12,1,6999.0,2006.0
lider-pl,Zwoleń,https://allegro.pl/uzytkownik/lider-pl,96,35615.28,2010.28
jure5001,Częstochowa,https://allegro.pl/uzytkownik/jure5001,1,3900.0,2002.0
piotripawelVI,Płock,https://allegro.pl/uzytkownik/piotripawelVI,10,21330.0,2009.2
paula_paolka,Bochnia,https://allegro.pl/uzytkownik/paula_paolka,1,6000.0,2003.0
STANCARS-PL,Warszawa,https://allegro.pl/uzytkownik/STANCARS-PL,33,12790.88,2003.85
MASLOWOAUTODOMIN,Masłowo,https://allegro.pl/uzytkownik/MASLOWOAUTODOMIN,84,32387.99,2009.96
URSUS-CAR,Warszawa,https://allegro.pl/uzytkownik/URSUS-CAR,183,8327.32,2002.83
meteorcars,Zwoleń,https://allegro.pl/uzytkownik/meteorcars,54,28889.33,2004.48
p1kopecki,Kwidzyn,https://allegro.pl/uzytkownik/p1kopecki,2,18749.5,1998.5
komisplatyna,Rawa mazowiecka,https://allegro.pl/uzytkownik/komisplatyna,28,29932.11,2008.61
wisniawka,Bydgoszcz,https://allegro.pl/uzytkownik/wisniawka,1,36000.0,2011.0
belasko1960,Górzyn k/ lubska woj. lubuskie,https://allegro.pl/uzytkownik/belasko1960,1,1900.0,2000.0
mody621,Bytom,https://allegro.pl/uzytkownik/mody621,1,12000.0,2006.0
JANDOSZNA,Nowy sacz,https://allegro.pl/uzytkownik/JANDOSZNA,82,35838.9,2008.72
grzyba73,Dygowo,https://allegro.pl/uzytkownik/grzyba73,1,8300.0,2004.0
